0
2D
2D
2D + time
"2D + time, 3D (<3000x3000x100)"
"2D, 2D + time"
"2D, 2D + time"
"2D, 2D + time"
"2D, 2D + time, 3D (<3000x3000x100), 3D + time, 3D (large volume), 3D large volume + time"
"2D, 3D (<3000x3000x100)"
