,Search query: artificial intelligence ',AI_norm,Search query: deep learning,DL_norm,Search query: machine learning,ML_norm,Survey_DL,Survey_DL_norm ,Unnamed: 9,Index,Fold
2022.0,38456.0,1.696638136,19633.0,2.11016767,31021.0,1.704731549,207.0,0.884615385,,Artificial intelligence,1.69
2021.0,31304.0,1.381099444,14496.0,1.558039553,25535.0,1.403253284,,,,Deep learning,2.11
2020.0,22666.0,1.0,9304.0,1.0,18197.0,1.0,234.0,,,Machine learning,1.7
,,,,,,,,,,Survey-Deep/Machine learning,0.88
,,0.696638136,,1.11016767,,0.704731549,,-0.115384615,,,
