,index,Work description,Percentage,Category
6,1.0,18,3.7,Imaging
2,2.0,63,12.8,Imaging
1,3.0,88,17.8,Balanced
0,4.0,185,37.5,Balanced
3,5.0,49,9.9,Balanced
4,6.0,45,9.1,Analyst
5,7.0,45,9.1,Analyst
