,Very interested,Very preferable,fold
Best practices articles,29.5,18.1,-0.39
Written tutorials,62.8,58.8,-0.06
Video tutorial,57.2,46.5,-0.19
Interactive webinar,41.7,20.7,-0.5
Office hours,33.3,38.9,0.17
One day seminar,29.8,23.3,-0.22
Multiday workshop,30.8,18.1,-0.41
