,index,Level of computational skills,Percentage,Category
6,1.0,10,2.0,Low skill
4,2.0,56,11.4,Low skill
2,3.0,86,17.4,Medium skill
1,4.0,97,19.7,Medium skill
0,5.0,140,28.4,Medium skill
3,6.0,79,16.0,High skill
5,7.0,25,5.1,High skill
