,Somewhat preferable,Moderately preferable,Very preferable,Not at all preferable
Best practices articles,38.5,33.5,18.1,9.9
Written tutorials,10.8,29.8,58.8,0.6
Video tutorial,19.5,27.6,46.5,6.5
Interactive webinar,33.7,34.9,20.7,10.8
Office hours,25.4,24.5,38.9,11.2
One day seminar,30.0,34.3,23.3,12.4
Multiday workshop,37.1,27.8,18.1,17.0
