,index,Comfort in developing computational skills,Percentage,Category
6,1.0,18,3.7,Low comfort
5,2.0,50,10.1,Low comfort
4,3.0,60,12.2,Medium comfort
3,4.0,74,15.0,Medium comfort
1,5.0,107,21.7,Medium comfort
0,6.0,109,22.1,High  comfort
2,7.0,75,15.2,High  comfort
