,Very interested,Very interested,fold
Image analysis theory,37.6,31.8,-0.15
Image analysis practices,51.2,46.0,-0.1
Topics related to sub discipline,74.4,69.2,-0.07
Specific software tool,49.2,45.2,-0.08
Deep learning for image analysis,48.3,42.0,-0.13
