,role,count
0,Student - Graduate/Undergraduate,105
1,Facility staff,82
2,Postdoctoral fellow,72
3,Research scientist,70
4,Principal investigator,66
5,Facility director,53
6,Image/data analyst,39
7,Clinician,6
