,Best practices articles High skill,Best practices articles Medium skill,Best practices articles Low skill,Written tutorials High skill,Written tutorials Medium skill,Written tutorials Low skill,Video tutorial High skill,Video tutorial Medium skill,Video tutorial Low skill,Interactive webinar High skill,Interactive webinar Medium skill,Interactive webinar Low skill,Office hours High skill,Office hours Medium skill,Office hours Low skill,One day seminar High skill,One day seminar Medium skill,One day seminar Low skill,Multiday workshop High skill,Multiday workshop Medium skill,Multiday workshop Low skill
Very preferable,13.5,19.8,16.7,55.8,58.5,65.2,39.4,45.8,60.6,13.5,20.7,31.8,31.7,39.0,50.0,25.0,21.7,28.8,15.4,19.5,15.2
Moderately preferable,37.5,31.9,34.8,31.7,30.0,25.8,23.1,30.0,22.7,33.7,36.2,30.3,26.0,24.1,24.2,26.9,35.9,37.9,31.7,24.8,36.4
Somewhat preferable,40.4,38.1,37.9,12.5,10.5,9.1,25.0,18.9,13.6,37.5,33.7,27.3,27.9,26.6,15.2,35.6,30.3,19.7,37.5,38.4,30.3
Not at all preferable,8.7,10.2,10.6,,0.9,,12.5,5.3,3.0,15.4,9.3,10.6,14.4,10.2,10.6,12.5,12.1,13.6,15.4,17.3,18.2
