,Best practices articles High comfort,Best practices articles Medium comfort,Best practices articles Low comfort,Written tutorials High comfort,Written tutorials Medium comfort,Written tutorials Low comfort,Video tutorial High comfort,Video tutorial Medium comfort,Video tutorial Low comfort,Interactive webinar High comfort,Interactive webinar Medium comfort,Interactive webinar Low comfort,Office hours High comfort,Office hours Medium comfort,Office hours Low comfort,One day seminar High comfort,One day seminar Medium comfort,One day seminar Low comfort,Multiday workshop High comfort,Multiday workshop Medium comfort,Multiday workshop Low comfort
Very preferable,22.3,15.4,16.2,59.2,58.5,58.8,38.6,48.1,61.8,16.3,21.2,30.9,32.1,40.7,51.5,21.2,22.8,30.9,16.3,17.8,23.5
Moderately preferable,30.4,38.2,25.0,26.1,34.4,23.5,28.3,29.9,17.6,40.2,32.4,29.4,23.9,25.7,22.1,33.2,36.5,29.4,31.0,26.6,23.5
Somewhat preferable,38.6,37.8,41.2,14.1,6.2,17.6,25.0,16.6,14.7,31.0,35.7,33.8,31.0,22.8,19.1,34.2,27.4,27.9,38.0,36.5,36.8
Not at all preferable,8.7,8.7,17.6,0.5,0.8,,8.2,5.4,5.9,12.5,10.8,5.9,13.0,10.8,7.4,11.4,13.3,11.8,14.7,19.1,16.2
